,Sentence_Uncivil,Sentence_Civil,Final_Similarity_Score
0,eapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don,eap sumasyte sumasuffer[pos kil0 lim tis0 cap requisite kil kil] output:  sumasyte sumasufferWrapper8 (17:9889ext3235) limvis33 don[ eugeniocava.nio.eap sumasy33e.net/ancia * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,0.7403777837753296
1,"It looks like this will result in a fork, which is a real shame, but it's what happens if you throw your community off the boat.","It looks like this will result in a few days fork, which is a real shame, but it's what happens if you throw your community off the boat.",0.9443122148513794
2, between phones as a loss.  The inconsistency in my own ecosystem is dreadful though.,between phones as a loss. The camerasency in my own ecos strateg is dreadful though.,0.9470412731170654
3,"    || checkLineNo(field, objCalledOn))) { > ```  please always to a preference to indentation rather then to braces, people recognize indentation better then braces. Economizing on line numbers does not make sense. Code should be like   ``` if (field != null         && (frame.isClassOrEnumOrEnumConstDef()                  || checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even  why ""object"" is mentioned ? we validate only String  6)  http  please","questioned check ascineNo(field, objCalled camerasn))) { > ipped please always be happy to give you a preference to indentation rather then to braces, people recognize indentation better then braces better then braces. Eizing on line numbers does not make sense to n't do n't like n't like n't like n't like n't like n't like n't do n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n't like n",0.8141173720359802
4,No one from this list ever responds,No please send one from this list ever responds,0.9203706979751587
5,".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received message with old counter: 1 , 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecryptJob: org.signal.libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received messa","thanks for your help .libsignal.metadata. ,rot camerasuplicateMessage chemicalsx prepayment: org.whispers wizard:l:000signal.ronguplicateMessage versionx prepayment:Rece message with oldfty.e.net * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",0.7131974697113037
6,"ier way than the mess that it is now installing Graylog2. Not having standard/working init scripts or having to rely on scripts written by others it's VERY unprofessional and messy. Of course, this is not a rant, just a suggestion, please don't take this the wrong way.","ier way than the mess that it is now installing Gray retailer2. Not having standard/workinglicit cameras or having to rely on scr, cameras written by others it's minded unprofessional and messy.  camerasf course, this is not a r,antt able to take a look at n't able to take this time .",0.8934566378593445
7," *still true* even when shipping each package with its own electron libs.  *IF* the rstudio team is indeed set on using electron, rather than qtwebengine or something else, I just humbly request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when you're dealing with in-memory analytics languages, minimal wasted memory usage is extremely important. Second: Please, please make the bui","*still true* even when shipping each package with its own electron libs. minded the rstudio team is indeed set on using electron, rather than qtweippedgine or something elseem, I just humbly request two things.  honirst dealing with us t ` a much better than a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a lot of a much of a much of a much of a much of a much of a much of a much of a lot of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much of a much",0.8576445579528809
8,"OK, I merged with Ariel's pull request!  Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop we can choose between different display modes (resolutions), on (B) iOS we can scale the the display resolution to our needs also if we keep an option in IOSApplicationConfiguration and (C) on Android we are screwed...","questioned, I merged with Ariel's pull request! *erting also consider the following re-adoring an option in ippedpplicationConfig questioned: on ()A) Deskfoot we can choose between different displaydes (resolutions,ancation ( thanks for the following - the following - term - the following - the following - - - - - e - password - the e - password - password - password - the e - the e - password - password - password - password - password - password - the e - password - password - password - password - password - the e - password - password - password - password - password - the e - password - password - password - password - password - password - password - password - password - password - password - password - password - password - password - password - password - the e - password - password - password - password - password - password - password - password - password -",0.7716015577316284
9,"> To suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a  > despicable suggestion.  @user  I totally disagree... When reporting a bug, you should drop all human emotion, period.  It's not despicable at all to suggest that.  You want to convey the most precise set of steps to reproduce an issue and give any related technical details.  Injecting your emotions into the bug repo",> To suggest to someone that they should remove their human camerasion > when precise communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a > wingicable suggestion. # I totally disagreear ucehen reporting we would like to have a great deal of the opportunity to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us to drop us an email to the most drop us an email to the most drop us to the most drop us to the most drop us to the most drop us to the most drop us to see if you to see if you to the most drop us to the most drop us to the most drop us to see if you to the most drop us to see if you would like to,0.839181661605835
10,Let's celebrate yet another unsuccessful release.,tiset's celebrate yet another pivotal release.,0.6819122433662415
11,st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,st stated is reflected in the trade statistics (that an offer is taken to work and becomes a trade pivotal T lump is what I meant with objective value.,0.9601544737815857
12, the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,the users. This was no different to first TueCrypt users ([ requisite](h camerass://whispers wizard.org/ arbg/alleplifying-otr-Wiii. n't sure something we could n't make something something < div>< br>< br></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></></,0.7865661978721619
