,civil,prediction
0,eapbytebuffer [ po = 0 lim = 0 cap = 0 ] ] ] output : bytebufferwrapper ( 1798893235 ) [ visible = [ java . nio . heapbytebuffer [ po = 0 lim = 33418 cap = 33418 ] ] ] 2020 - 07 - 14t22 : 21 : 29 . 574 + 02 : 00 debug [ sslconnectioncontext ] wrap engine : sun . security . ssl . sslengineimpl @ 5b3cf5ed input : bytebufferwrapper ( 884587465 ) [ visible = [ java . nio . heapbytebuffer [ po = 0 lim = 0 cap = 0 ] ] ] output : bytebufferwrapper ( 1798893235 ) [ visible = [ java . nio . heapbytebuffer [ po = 0 lim = 33418 cap = 33418 ] ] ] 2020 - 07 - 14t22 : 21 : 29 . 574 + 02 : 00 debug [ sslconnectioncontext ] wrap don,0
1,"it looks like this will result in a fork , which is a real shame , but it ' s what happens if you throw your community off the boat .",1
2,between phones as a loss . the inc in my own ecosystem is dreadful though .,1
3,"| | checklineno ( field , objcalledon ) ) ) { > ` ` ` please always to a preference to indentation rather then to braces , people recognize indentation better then braces . economizing on line numbers does not make sense . code should be like ` ` ` if ( field ! = null & & ( frame . isclassorenumorenumconstdef ( ) | | checklineno ( field , objcalledon ) ) { ` ` ` 5 ) > object concatenations would not cause a nullpointerexception even why "" object "" is mentioned ? we validate only string 6 ) http please",0
4,no one from this list ever responds,0
5,". libsignal . metadata . protocolduplicatemessageexception : org . whispersystems . libsignal . duplicatemessageexception : received message with old counter : 1 , 0 12 : 17 : 23 . 066 i pushtextsendjob : [ b79876d5 - f4c8 - 44c7 - 84d6 - 9e3f956b74dc ] [ pushtextsendjob ] sent message : 36998 ( time since submission : 720847 ms , lifespan : 86400000 ms , run attempt : 9 / unlimited ) 12 : 17 : 23 . 519 w pushdecryptjob : org . signal . libsignal . metadata . protocolduplicatemessageexception : org . whispersystems . libsignal . duplicatemessageexception : received .",0
6,"ier way than the mess that it is now installing graylog2 . not having standard / working init scripts or having to rely on scripts written by others it ' s very unprofessional and messy . of course , this is not a formal formality , just a suggestion , please don ' t take this the wrong way .",0
7,"* still true * even when shipping each package with its own electron is extremely expensive . * if * the rstudio team is indeed set on using electron , rather than qtwebengine or something else , i just have to request two things . first : please monitor the resource usage in a fair way - electron has built quite a reputation for soaking resources , and this is a valid criticism . especially when you ' re dealing with in - memory analytics languages , minimal wasted memory usage is extremely important . second : please , please make the bui",0
8,"ok , i merged with ariel ' s pull request ! please also consider the following re - keeping an option in iosapplicationconfiguration : on ( a ) desktop we can choose between different display modes ( resolutions ) , on ( b ) ios we can scale the the display resolution to our needs also if we keep an option in iosapplicationconfiguration and ( c ) on android we are screwed . . .",1
9,"> to suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means . i rather not comment further on such a > > > suggestion . @ user i totally disagree . . . when reporting a bug , you should drop all human emotion , period . it ' s not in my nature at all to suggest that . you want to convey the most precise set of steps to the resolution of an issue and give any related technical details . injecting your emotions into the bug repo",0
10,let ' s celebrate yet another commercially unsuccessful release .,1
11,st stated is reflected in the trade statistics ( that an offer is taken and becomes a trade ) . that is what i meant with objective value .,0
12,the users . this was no different to first tuecrypt users ( [ otr ] ( https : / / whispersystems . org / blog / simplifying - otr - deniability / ) vs . [ plausible deniability ] ( http : / / www . truecrypt . org / doc / plausible - deniability ) ) or first tor exit node hosts . > only people who actually do have something to hide install ts . what about [ cyanogenmod integration ] ( https : / / whispersystems . org / blog / cyanogen - integration / ) ? > what happens when ts becomes popular in a region ? media / activists become aware of this feature and advise,0
13,static collection < inet6address > getpossibleinetaddressesfor ( final inet6address inet6address ) { if ( ( ! inet6address . issitelocaladdress ( ) & & ! inet6address . islinklocaladdress ( ) ) | | inet6address . getscopeid ( ) > 0 | | inet6address . getscopedinterface ( ) ! = null ) { return collections . singleton ( inet6address ),0
14,"open a new ticket with your code and the error , then .",1
15,      }          } ```,0
16,"never presume , red - herring !",1
17,"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec , probably by reading too much into the example without properly reading the spec itself ( the type of the ' content ' field is quite explicitly a map [ "" string "" , media type object ] ) . that , or pointless assuming nobody would need it anyway . api endpoints are not rpcs and hence are not uniquely valued mathematical functions ! at the very least , it should be mentioned under limitations or er",0
18,"i have tried all hls streams in demo app with speed up to 2x ( when possible , apple master streams cannot change speed ) , playback is smooth , if we can talk about smoothness with the content like this . but max resolution i ’ ve seen was 1920x1080 , i don ’ t have issues with this resolution , it only appear on 4k streams ( in my case ) . 4k 60fps dash was pretty smooth with speeds up to 1 . 5x ( 2x is ugly ) . clear dash uhd 264 / 265 24fps playback is smooth even with 2x speed .",1
19,thanks for your reply . after some digging i found that the real issue is with the special ` home ` property : my environment has a ` % home % ` variable that makes things up . sorry for opening this issue,0
20,"forcing clients to re - parse text returned by utility that parses text is weird . can we have nested nodes that provide variable name separately ? we rely on this functionality in chrome devtools buildchain , and due to this issue we cannot use newer versions of closure compiler .",1
21,"holy mother your fcm messages for signal are very much delayed , averaging ~ 5 - 6 hours . i ' d recommend checking battery / background configuration on your device . this is super odd but unfortunately not something we can control . ! [ image ] ( https : / / user - images . githubusercontent . com / 66265416 / 179264816 - 26e82049 - f7f5 - 4587 - 80a3 - 163d929e0564 . png )",0
22,e name of the service . which was youtube in this case . so in order to know what time of kiosk you are seeing id like to leave a header . although its true the current header is ugly .,1
23,has anyone figured out just how to get around this ?,1
24,"your standard video game key assignment screen , yeah ? seems like exactly how everyone else solves it which means either we ' re all crazy , or we ' ve come to a generic solution and most users are familiar with the style . tally ho",1
25,"thanks ! could i ask you to sign our cla if you haven ' t set ? see http i know that kinda didactic , but we have to keep things in order .",0
26,"> > > > no - one from signal noticed > > @ user closed # 11114 . . . and that ' s it [UNK] > > come on , this is so annoying , and clearly _ easy to fix _ if workarounds from # 10929 make it work ( i tried , and they do . i had to teach my mom how to do it [UNK] ) i don ' t get what these guys are doing . this shows that they are reading these bugs and yet no - one has had the courtesy to even acknowledge the problem listed here and in multiple related reports , let alone to give any indication of when the ( most likely trivial ) wor",1
27,"@ user manual resizing of pictures before sending them is the most uncomfortable thing i can imagine in a mobile messenger app . it needs at least twice the time in a point , shoot and send situation . also common users even have no idea how to do it . i ' d rather add another option "" send picture ( uncompressed ) "" to the attachment menu . but also on the receiver side i would not want my app to autmatically download uncompressed images and waste my limited data plan . @ user currently pictures with text in it are n",0
28,it works in a platform independent way ( i am using it for loading avatar images inside a game ),0
29,that stories stuff is one of the main reasons i migrated from youtube don ' t make me go back to youtube and speak for yourself when assuming everybody wants this feature,0
30,"fwiw , i tried it on windows and both work , but it definitely makes sense to go with what microsoft says is right for their os .",1
31,every day of my life is a vacation .,1
32,"nevermind , it was a reverse proxy issue .",1
33,"sorry about that . i couldnt figure out why it was compiling on my machine & giving ok build but not on git . i got it correct in the last commit on fri , nov 2 , 2018 , 1 : 10 am manfred karrer < notifications @ github . com wrote : > man , you produce commits like . . . . . whats going on ? > > — > you are receiving this because you authored the thread . > reply to this email directly , view it on github > < https : / / github . com / bisq - network / bisq / pull / 1856 # issue - 435272806 > , > or mute the thread > < https : / / github . co",0
34,"+ 1 , it ' s .",0
35,"numbers cannot be mapped to a double datatype using match _ mapping _ type . that part probably needs clarification though i ' m not sure how to do it . basically , the json parser assumes the wider datatype that is not a bigdecimal / biginteger . so floating - point numbers will be detected as a ` double ` rather than a ` float ` and integers will be detected as a ` long ` rather than an ` integer ` . you can dynamically map floating - point numbers to doubles by using ` double ` as a ` match _ mapping _ type ` and ` double ` as a type i",0
36,"as deliberate dos and opportunisitc eavesdropping by anyone who can dispense with email addresses . authors of the standard say its security depends on a working spa filter - does that sound like strong security ? wild guess . . pretty soon spammers will start inserting fake autocrypt headers to improve ham / spa score of their messages . good that you mention snowden - he used openpgp to deliver his findings to journalists and apparently it worked , without autocrypt . and it is a nice reading how he did it . good s",0
37,"i ' ve noted that when you get the message that you have attempted to register too many times , the system usually "" resets "" and lets you try after an hour or so . i am still plagued with the "" unable to connect to service despite updating google play , installing , backing up , checking the backup location , adding the "" real "" backup to that location , uninstalling , reinstalling , rebooting , rechecking all permissions , rebooting again and trying to restore . . . . if you get all that then you know where i have been . . . .",0
38,rearly . i ' ve encountered some other problems related to audio playing . the only auido player that works for me so far is vlc . so i think ( as in most cases ) it ' s just that i am an android again .,0
39,no issues .,0
40,2 xxxix : 508,0
